"cv_texto","talleres","competencias"
"Minería: controlé voladura y gestioné seguridad y ambiente en mina a cielo abierto.","voladura, seguridad, ambiente","Minería, Seguridad e Higiene"
"Telecomunicaciones: gestioné nodos LTE/5G y KPIs de red con SON básico.","lte, 5g, kpis","Telecomunicaciones, Analisis de Datos"
"Banca: analicé riesgo crediticio y construí scorecards regulatorios.","riesgo, modelos, regulacion","Banca y Servicios Financieros, Finanzas"
"Seguros: diseñé productos masivos y tableros de siniestralidad.","actuarial, pricing, siniestros","Seguros, Finanzas"
"Gobierno: lideré proyectos de modernización con enfoque en interoperabilidad y datos abiertos.","govtech, interoperabilidad, open data","Gobierno y Sector Público, Gestion de Proyectos"
"Turismo/Hotelería: mejoré RevPAR con estrategias de revenue management y CRM.","revenue, crm, canales","Turismo y Hotelería, Marketing"
"Salud mental: conduje talleres de psicoeducación y protocolos de derivación.","psicoeducacion, protocolos","Salud Mental, Educación"
"Veterinaria: gestioné clínica ambulatoria y campañas de vacunación animal.","atención, bioseguridad","Veterinaria, Salud"
"Traducción/Interpretación: realicé interpretaciones simultáneas y traducciones técnicas.","interpretación, traducción","Traducción e Interpretación, Administración"
"Investigación/Academia: publiqué artículo indexado y dicté cátedra de laboratorio.","investigación, docencia","Investigación y Academia, Educación"
"Retail operaciones: coordiné inventarios omnicanal y picking store-to-customer.","omnicanal, wms, ruteo","Retail Operaciones, Logística"
"Atención técnica posventa: resolví incidencias complejas y documenté soluciones nivel 3.","troubleshooting, kcs","Soporte Técnico, Atención al Cliente"
"Ética de datos/IA: definí lineamientos de uso responsable y evaluaciones de sesgo.","responsible ai, governance","Analisis de Datos, Legal"
"Cultura y cambio: facilité adopción de herramientas y acompañé champions internos.","change management, adopción","RRHH, Administración"
"Comunity management: gestioné comunidades técnicas y contenido especializado.","comunidad, contenido","Marketing, Educación"

