cv_texto,talleres,competencias
Analicé métricas en GA4 y propuse experimentos A/B para landing pages.,campañas pagas,Marketing
Gestioné alianzas con influencers y seguimiento de métricas de awareness.,branding,Marketing
Coordine lanzamientos de marca con materiales POP y PR digital.,"marketing digital, contenido",Marketing
Redacté contratos de servicios y anexos de confidencialidad para proveedores.,contratos,Legal
Monitoreé cumplimiento de políticas internas y normativas sectoriales.,compliance,Legal
Administé archivo digital y trazabilidad de expedientes legales.,gestion documental,Legal
Apoyé procesos de due diligence revisando cláusulas críticas.,propiedad intelectual,Legal
Gestioné renovaciones de marcas y seguimiento de oposiciones.,contratos,Legal
Conduje entrevistas por competencias para perfiles operativos y administrativos.,reclutamiento,RRHH
Diseñé onboarding híbrido y seguimiento de 30-60-90 días.,seleccion por competencias,RRHH
Gestioné nómina y novedades en coordinación con estudio contable.,induccion,RRHH
Implementé encuestas de clima y planes de acción con líderes.,gestion del talento,RRHH
Administré plataforma LMS para capacitaciones internas.,clima laboral,RRHH
Realicé auditorías internas ISO 9001 y seguí planes de acción correctivos.,gestion de calidad,Calidad
Diseñé checklists de control en línea de producción farmacéutica.,auditorias,Calidad
Analicé indicadores de scrap y propuse mejoras de proceso.,iso 9001,Calidad
Documenté procedimientos y capacitaciones para certificaciones.,control estadistico,Calidad
Implementé herramientas de control estadístico de procesos en planta.,gestion de calidad,Calidad
Programé mantenimientos preventivos y correctivos de flota industrial.,mantenimiento preventivo,Mantenimiento
Supervisé contratistas técnicos y cumplimiento de seguridad.,gestión de activos,Mantenimiento
Administré CMMS para seguimiento de órdenes de trabajo.,cmms,Mantenimiento
Gestioné inventario crítico de repuestos y compras urgentes.,seguridad industrial,Mantenimiento
Implementé análisis de falla raíz para equipos críticos.,mantenimiento preventivo,Mantenimiento
Construí dashboards en Excel con tablas dinámicas y segmentadores.,excel avanzado,Ofimática
Automatizé reportes diarios con macros y conexiones a SQL.,power bi basico,Ofimática
Diseñé plantillas para seguimiento de KPIs comerciales.,automatizacion con macros,Ofimática
Capacité equipos en funciones de Power Query y modelado básico.,reporteria,Ofimática
Integré datos en Power BI para visualizaciones ejecutivas.,excel avanzado,Ofimática
Lideré procesos de licitación y comparación técnica-económica.,"negociacion, procurement",Compras
Negocié contratos marco reduciendo costos en 8%.,gestión de proveedores,Compras
Clasifiqué proveedores y monitoreé niveles de servicio.,analisis de costos,Compras
Analicé consumos vs presupuesto y generé alertas tempranas.,"negociacion, procurement",Compras
Implementé catálogo electrónico y órdenes automáticas.,gestión de proveedores,Compras
Supervisé líneas de envasado asegurando cumplimiento de OEE.,lean manufacturing,Producción
Planifiqué secuencias de producción acorde a demanda semanal.,planificacion de la produccion,Producción
Facilité eventos kaizen para reducir tiempos de cambio de formato.,kaizen,Producción
Monitoreé indicadores de scrap y desperdicio de materias primas.,control de planta,Producción
Coordiné turnos y asignación de personal en planta continua.,lean manufacturing,Producción
"Elaboré plan de proyecto con cronograma, presupuesto y matriz RACI.",pm tools,Gestion de Proyectos
Facilité ceremonias ágiles para escuadras multidisciplinarias.,metodologias agiles,Gestion de Proyectos
Controlé riesgos y planes de mitigación en portafolio corporativo.,gestion de riesgos,Gestion de Proyectos
Reporté avances semanales a PMO con indicadores de valor ganado.,planificacion,Gestion de Proyectos
Implementé tableros Kanban para proyectos de innovación.,seguimiento de proyectos,Gestion de Proyectos
Construí modelos de flujo de caja y escenarios de sensibilidad.,finanzas corporativas,Finanzas
Analicé estados financieros para soporte en decisiones de inversión.,analisis financiero,Finanzas
Preparé reportes de control de gestión con indicadores de rentabilidad.,modelos financieros,Finanzas
Coordiné cierres trimestrales y relacionamiento con auditores externos.,control de gestión,Finanzas
Desarrollé tableros para seguimiento de presupuesto vs real.,finanzas corporativas,Finanzas
Resolví incidencias de software y hardware con tiempos de respuesta inferiores al SLA.,mesa de ayuda,Soporte Técnico
Instalé y configuré redes LAN y periféricos para oficinas nuevas.,hardware,Soporte Técnico
Documenté soluciones en base de conocimiento y capacitaciones de usuarios.,sistemas operativos,Soporte Técnico
Gestioné inventario de activos tecnológicos y licencias.,herramientas it,Soporte Técnico
Implementé controles básicos de seguridad y respaldo de información.,seguridad basica,Soporte Técnico
Desarrollé modelos descriptivos en Python para detectar desviaciones operativas.,"python, analisis de datos",Analisis de Datos
Construí consultas SQL avanzadas para auditorías de información.,sql,Analisis de Datos
Elaboré visualizaciones interactivas para dirección comercial.,estadistica,Analisis de Datos
Aplicqué técnicas de estadística inferencial para experimentos internos.,visualizacion,Analisis de Datos
Integré datos de múltiples fuentes y aseguré calidad de información.,"python, analisis de datos",Analisis de Datos
Dirigí un contact center que vendía seguros y gestionaba reclamos complejos.,"servicio al cliente, ventas consultivas, negociacion","Atención al Cliente, Ventas"
Gestioné compras estratégicas de repuestos críticos coordinando logística y mantenimiento.,"procurement, logistica, mantenimiento preventivo","Compras, Logística, Mantenimiento"
Diseñé tableros financieros y presentaciones ejecutivas para dirección y comité de proyectos.,"control de gestión, planificacion, power bi basico","Finanzas, Gestion de Proyectos, Ofimática"
Implementé mejoras de procesos apoyadas en datos y automatizaciones en planta productiva.,"lean manufacturing, analisis de datos, automatizacion","Producción, Analisis de Datos, Calidad"
Negocié contratos comerciales asegurando cumplimiento legal y objetivos de venta.,"negociacion, contratos, compliance","Ventas, Legal"
"Planifiqué presupuestos anuales considerando nómina, capacitaciones y clima laboral.","gestion del talento, control de gestión, clima laboral","RRHH, Finanzas"
Automatizé reportes de contabilidad y creé dashboards para compras y logística.,"excel avanzado, contabilidad, supply chain","Ofimática, Contabilidad, Logística"
Coordiné campañas digitales para lanzar un ecommerce con soporte operativo post venta.,"marketing digital, crm, servicio al cliente","Marketing, Ventas, Atención al Cliente"
Implementé ITIL básico para mesa de ayuda alineada a proyectos y soporte continuo.,"mesa de ayuda, metodologias agiles, herramientas it","Soporte Técnico, Gestion de Proyectos"
Supervisé logística inversa garantizando calidad del servicio y satisfacción del cliente.,"logistica, gestion de calidad, servicio al cliente","Logística, Calidad, Atención al Cliente"
Analicé data de ventas para definir estrategias de marketing y forecasts financieros.,"analisis de datos, marketing digital, finanzas corporativas","Analisis de Datos, Marketing, Finanzas"
Gestioné proveedores tecnológicos desde la evaluación legal hasta la capacitación de usuarios.,"gestion de proveedores, contratos, capacitacion","Compras, Legal, Ofimática"
"Coordiné despliegue de ERP involucrando procesos contables, logísticos y de producción.","erp, planificacion, logistica, contabilidad","Gestion de Proyectos, Contabilidad, Logística, Producción"
Diseñé políticas de seguridad y continuidad operativa para áreas críticas de soporte y datos.,"seguridad basica, estadistica, continuidad del negocio","Soporte Técnico, Analisis de Datos"
Lideré comité de calidad y finanzas para certificar planta con foco en indicadores de costo.,"iso 9001, control de gestión, costos","Calidad, Finanzas"
Brindé atención primaria en campañas de salud comunitaria coordinando derivaciones y seguimiento.,"atención al paciente, bioseguridad",Salud
Apliqué protocolos de bioseguridad en vacunatorios y eduqué a la comunidad en prevención.,"protocolos de bioseguridad, primeros auxilios",Salud
Diseñé clases con metodologías activas y rubricas de evaluación continua.,"didáctica, evaluación del aprendizaje",Educación
"Gestioné aula híbrida, planificación semanal y acompañamiento a familias y estudiantes.","gestion de aula, pedagogía",Educación
Desarrollé wireframes y pruebas de usabilidad para mejorar conversión de formularios.,"ux, prototipado",Diseño
Creé piezas gráficas y guías de estilo para campañas multiformato.,"diseño gráfico, canva",Diseño
Gestioné importaciones coordinando despachos y documentación con despachantes.,"comercio exterior, aduanas",Comercio Exterior
Preparé DUAs y controlé aranceles y certificaciones de origen.,"despachante, normativa",Comercio Exterior
Implementé programas de seguridad e higiene y capacitaciones en uso de EPP.,"seguridad e higiene, epi",Seguridad e Higiene
Realicé evaluaciones de riesgo y planes de emergencia en planta.,"seguridad industrial, auditorias",Seguridad e Higiene
"Administré agendas, documentación y trámites para dirección general.","ofimática, organización",Administración
"Organicé eventos internos, minutas y seguimiento de compromisos.","comunicación, gestion documental",Administración
Lideré equipo de call center para agendar turnos médicos con KPIs de servicio.,"servicio al cliente, atención al paciente","Atención al Cliente, Salud"
Elaboré materiales educativos digitales y talleres para emprendedores.,"didáctica, marketing digital","Educación, Marketing"
Optimizé procesos de compras internacionales con análisis de costos y lead time.,"procurement, comercio exterior","Compras, Comercio Exterior"
Diseñé prototipos y testeos A/B alineados a objetivos comerciales.,"ux, campañas pagas","Diseño, Marketing"
Gestioné presupuesto de capacitación y procesos de onboarding.,"induccion, gestion del talento","RRHH, Educación"
Atendí reclamos complejos asegurando cumplimiento legal y satisfacción del cliente.,"compliance, servicio al cliente","Legal, Atención al Cliente"
Implementé BI para control de inventario y rotación de productos.,"power bi basico, supply chain","Ofimática, Logística"
Analicé variaciones de costos y su impacto en margen y OPEX.,"analisis financiero, control de gestión",Finanzas
Estandaricé instructivos de trabajo y capacité operarios en calidad.,"gestion de calidad, capacitación","Calidad, Educación"
Automatizé indicadores de mesa de ayuda y monitoreo de SLA.,"mesa de ayuda, analytics","Soporte Técnico, Analisis de Datos"
Diseñé e impartí curso de Excel intermedio para administración.,"excel avanzado, didáctica","Ofimática, Educación"
Planifiqué inventarios y rutas de distribución para reducir quiebres de stock.,"planificacion de rutas, control de stock",Logística
"Gestioné planilla de sueldos y liquidaciones para 50 empleados en empresa manufacturera, conciliando aportes y declaraciones juradas.","planilla de sueldos, contabilidad laboral","RRHH, Contabilidad"
Implementé sistema de facturación electrónica y conciliaciones bancarias diarias para PYME comercial.,"facturación electrónica, conciliaciones bancarias","Contabilidad, Ofimática"
Supervisé almacén de productos químicos cumpliendo normativas de seguridad e higiene y control de inventario.,"seguridad e higiene, control de stock","Logística, Seguridad e Higiene"
Desarrollé scripts en Python para automatizar reportes contables y análisis de variaciones presupuestarias.,"python, contabilidad, analisis de datos","Contabilidad, Analisis de Datos"
Gestioné compras de materias primas y coordiné logística de importación con despachantes aduaneros.,"procurement, comercio exterior","Compras, Comercio Exterior"
Implementé protocolos ISO 9001 en línea de producción y capacitaciones en calidad para operarios.,"iso 9001, gestion de calidad","Calidad, Producción"
Coordiné mantenimiento preventivo de maquinaria industrial y gestión de repuestos críticos.,"mantenimiento preventivo, cmms","Mantenimiento, Logística"
"Gestioné cartera de clientes B2B con CRM, negociando contratos marco y seguimiento post venta.","crm, negociacion, servicio al cliente","Ventas, Atención al Cliente"
Elaboré presupuestos anuales y reportes financieros para dirección con análisis de rentabilidad por línea.,"control de gestión, finanzas corporativas","Finanzas, Administración"
Implementé tableros en Power BI para seguimiento de KPIs logísticos y control de inventarios.,"power bi basico, logistica","Analisis de Datos, Logística"
"Lideré equipo de 8 personas en área de ventas, capacitando en técnicas consultivas y logrando incremento del 25% en facturación.","liderazgo, ventas consultivas, capacitacion","Ventas, RRHH"
Desarrollé habilidades de negociación compleja cerrando acuerdos con proveedores estratégicos reduciendo costos en 15%.,"negociacion, procurement","Compras, Negociación"
Demostré capacidad de análisis crítico identificando ineficiencias en procesos logísticos y proponiendo mejoras implementadas.,"analisis de datos, logistica","Analisis de Datos, Logística"
"Gestioné múltiples proyectos simultáneos con metodologías ágiles, cumpliendo plazos y presupuestos asignados.","metodologias agiles, planificacion",Gestion de Proyectos
Comunicé resultados financieros a dirección mediante presentaciones ejecutivas y reportes claros.,"comunicacion efectiva, finanzas corporativas","Finanzas, Comunicación"
Trabajé bajo presión en cierres contables mensuales manteniendo precisión y cumplimiento de deadlines.,"contabilidad, gestion del tiempo",Contabilidad
Adapté procesos de atención al cliente a modalidad remota implementando herramientas digitales.,"servicio al cliente, herramientas digitales",Atención al Cliente
Colaboré con equipos multidisciplinarios en implementación de ERP coordinando áreas contables y logísticas.,"erp, trabajo en equipo","Gestion de Proyectos, Contabilidad"
Resolví conflictos con clientes insatisfechos aplicando técnicas de escucha activa y negociación.,"escucha activa, negociacion, servicio al cliente","Atención al Cliente, Negociación"
Capacité a nuevos empleados en procesos administrativos y uso de sistemas internos.,"induccion, capacitacion","RRHH, Educación"
"Certificado en Power BI avanzado, implementé dashboards ejecutivos y capacitaciones internas en herramientas de BI.","power bi avanzado, capacitacion","Analisis de Datos, Educación"
Completé diplomado en gestión de calidad ISO 9001 aplicando conocimientos en auditorías internas de planta.,"iso 9001, auditorias, certificaciones",Calidad
"Realicé curso de Python para análisis de datos y automatización, desarrollando scripts para reportes financieros.","python, analisis de datos, certificaciones",Analisis de Datos
"Certificado en metodologías ágiles Scrum, facilitando ceremonias y mejorando entregas de proyectos en 30%.","metodologias agiles, scrum, certificaciones",Gestion de Proyectos
"Completé formación en comercio exterior y normativa aduanera, gestionando importaciones y documentación.","comercio exterior, normativa, certificaciones",Comercio Exterior
"Realicé especialización en gestión de recursos humanos, implementando procesos de selección y desarrollo.","gestion del talento, seleccion por competencias, certificaciones",RRHH
"Certificado en Lean Manufacturing, aplicando herramientas kaizen y reduciendo desperdicios en 20%.","lean manufacturing, kaizen, certificaciones","Producción, Calidad"
"Completé curso de Excel avanzado y Power Query, automatizando reportes contables y análisis financieros.","excel avanzado, power query, certificaciones",Ofimática
"Realicé formación en seguridad e higiene laboral, implementando programas de prevención y capacitaciones.","seguridad e higiene, certificaciones",Seguridad e Higiene
"Certificado en gestión de proyectos PMI, liderando implementaciones de sistemas y mejoras de procesos.","pm tools, certificaciones, planificacion",Gestion de Proyectos
"Completé diplomado en marketing digital, ejecutando campañas en redes sociales y análisis de métricas.","marketing digital, certificaciones",Marketing
"Realicé curso de SQL avanzado y bases de datos, desarrollando consultas complejas para análisis de negocio.","sql, bases de datos, certificaciones",Analisis de Datos
Incrementé ventas en 35% mediante estrategias de prospección y gestión de cartera con CRM.,"ventas consultivas, crm",Ventas
Reduje tiempos de preparación de pedidos en 18% optimizando layout de almacén y procesos de picking.,"logistica, gestion de almacenes",Logística
Mejoré NPS de atención al cliente de 65 a 82 puntos implementando protocolos de servicio.,"servicio al cliente, comunicacion efectiva",Atención al Cliente
Reduje costos de compras en 12% mediante negociación estratégica y análisis de proveedores.,"procurement, negociacion, analisis de costos",Compras
Optimicé flujo de caja reduciendo días de cobranza promedio de 45 a 28 días.,"finanzas corporativas, analisis financiero",Finanzas
Reduje scrap en línea de producción de 3.2% a 1.8% aplicando controles de calidad estadísticos.,"gestion de calidad, control estadistico","Calidad, Producción"
Incrementé productividad de equipo en 22% mediante capacitaciones y mejoras de procesos.,"gestion del talento, capacitacion","RRHH, Producción"
Reduje tiempos de respuesta de mesa de ayuda de 4 horas a 1.5 horas promedio.,"mesa de ayuda, herramientas it",Soporte Técnico
Mejoré precisión de inventarios de 92% a 98% implementando conteos cíclicos y reconciliaciones.,"control de stock, logistica",Logística
Incrementé tasa de conversión de leads en 28% optimizando proceso de ventas y seguimiento.,"ventas consultivas, crm",Ventas
Reduje tiempos de cierre contable mensual de 10 días a 6 días mediante automatizaciones.,"contabilidad, automatizacion","Contabilidad, Ofimática"
Mejoré cumplimiento de entregas OTIF de 85% a 94% optimizando planificación logística.,"logistica, planificacion de rutas",Logística
Logré reducir quejas de clientes en 40% implementando protocolos de seguimiento post venta y capacitaciones.,"servicio al cliente, gestion de reclamos",Atención al Cliente
Demostré capacidad de liderazgo gestionando equipo de 12 personas en área de producción con rotación cero.,"liderazgo, gestion del talento","RRHH, Producción"
Implementé sistema de control de calidad que redujo devoluciones de productos en 25% en primer trimestre.,"gestion de calidad, iso 9001",Calidad
Gestioné crisis operativa durante peak de demanda manteniendo niveles de servicio y satisfacción del cliente.,"logistica, servicio al cliente","Logística, Atención al Cliente"
"Logré cerrar negociación compleja con proveedor estratégico reduciendo costos anuales en $50,000 USD.","negociacion, procurement","Compras, Negociación"
Demostré adaptabilidad migrando procesos administrativos a modalidad remota sin interrupciones operativas.,"administracion, herramientas digitales",Administración
Implementé programa de seguridad que redujo accidentes laborales en 60% mediante capacitaciones y controles.,"seguridad e higiene, capacitacion",Seguridad e Higiene
Gestioné proyecto crítico de implementación de ERP cumpliendo plazos y presupuesto asignado.,"erp, planificacion, metodologias agiles",Gestion de Proyectos
Logré mejorar satisfacción de empleados de 6.2 a 8.1 puntos mediante programas de clima laboral.,"clima laboral, gestion del talento",RRHH
"Demostré proactividad identificando oportunidad de mejora en procesos logísticos ahorrando $30,000 anuales.","logistica, analisis de datos","Logística, Analisis de Datos"
Certificado PMP con 5 años de experiencia gestionando proyectos de implementación de sistemas.,"pm tools, certificaciones, metodologias agiles",Gestion de Proyectos
"Contador público con especialización en NIIF, gestionando cierres contables y reportes corporativos.","contabilidad, normas niif, certificaciones",Contabilidad
"Ingeniero industrial con certificación Lean Six Sigma, aplicando metodologías en mejora de procesos.","lean manufacturing, certificaciones, gestion de calidad","Producción, Calidad"
"Analista de datos certificado en Tableau y Power BI, desarrollando dashboards ejecutivos y reportes.","power bi basico, visualizacion, certificaciones",Analisis de Datos
"Especialista en RRHH con certificación en selección por competencias, gestionando procesos de reclutamiento.","seleccion por competencias, reclutamiento, certificaciones",RRHH
"Técnico en seguridad e higiene certificado, implementando programas de prevención y cumplimiento normativo.","seguridad e higiene, certificaciones",Seguridad e Higiene
"Certificado en comercio exterior y aduanas, gestionando importaciones y documentación internacional.","comercio exterior, normativa, certificaciones",Comercio Exterior
Especialista en marketing digital con certificaciones en Google Analytics y Facebook Ads.,"marketing digital, analytics, certificaciones",Marketing
"Certificado en gestión de calidad ISO 9001, realizando auditorías internas y externas.","iso 9001, auditorias, certificaciones",Calidad
Analista financiero con certificación en análisis de estados financieros y modelado.,"analisis financiero, modelos financieros, certificaciones",Finanzas
"Gestioné implementación de sistema de gestión integrado (calidad, seguridad y ambiente) coordinando auditorías y capacitaciones.","iso 9001, seguridad e higiene, capacitacion","Calidad, Seguridad e Higiene, RRHH"
"Coordiné lanzamiento de producto nuevo involucrando marketing, ventas, logística y atención al cliente.","marketing digital, ventas consultivas, logistica, servicio al cliente","Marketing, Ventas, Logística, Atención al Cliente"
"Implementé sistema de control de gestión integrando finanzas, compras y logística con dashboards ejecutivos.","control de gestión, finanzas corporativas, procurement, power bi basico","Finanzas, Compras, Logística, Analisis de Datos"
"Gestioné proceso de certificación ISO coordinando calidad, producción, mantenimiento y RRHH.","iso 9001, gestion de calidad, mantenimiento preventivo, gestion del talento","Calidad, Producción, Mantenimiento, RRHH"
"Lideré proyecto de digitalización de procesos administrativos involucrando IT, administración y capacitación.","herramientas it, administracion, capacitacion","Soporte Técnico, Administración, Educación"
"Coordiné estrategia comercial integrando marketing digital, ventas B2B y postventa con métricas unificadas.","marketing digital, ventas consultivas, servicio al cliente, analytics","Marketing, Ventas, Atención al Cliente"
Gestioné cadena de suministro completa desde compras internacionales hasta distribución final.,"procurement, comercio exterior, logistica, control de stock","Compras, Comercio Exterior, Logística"
"Implementé sistema de gestión de talento integrando reclutamiento, capacitación, clima y desarrollo.","reclutamiento, capacitacion, clima laboral, gestion del talento","RRHH, Educación"
"Coordiné proceso de expansión comercial involucrando legal, ventas, marketing y logística.","contratos, ventas consultivas, marketing digital, logistica","Legal, Ventas, Marketing, Logística"
Gestioné transformación digital de procesos contables y financieros con integración de sistemas.,"contabilidad, finanzas corporativas, erp, automatizacion","Contabilidad, Finanzas, Gestion de Proyectos"
Facilité reuniones de negociación entre áreas comerciales y operativas logrando acuerdos win-win.,"negociacion, comunicacion efectiva, trabajo en equipo","Negociación, Comunicación"
Desarrollé habilidades de comunicación asertiva presentando resultados a dirección y equipos multidisciplinarios.,"comunicacion efectiva, presentaciones",Comunicación
Gestioné conflictos interpersonales en equipo aplicando técnicas de mediación y escucha activa.,"escucha activa, trabajo en equipo, comunicacion",Comunicación
Negocié contratos complejos con proveedores internacionales considerando aspectos legales y comerciales.,"negociacion, contratos, comercio exterior","Negociación, Legal, Comercio Exterior"
Comunicé cambios organizacionales a equipos mediante presentaciones claras y sesiones de preguntas.,"comunicacion efectiva, gestion del cambio","Comunicación, RRHH"
Facilité procesos de negociación colectiva coordinando con áreas legales y recursos humanos.,"negociacion, contratos, gestion del talento","Negociación, Legal, RRHH"
"Ingeniero electromecánico junior en sector energético con foco en HSE y calidad. Coordiné calibraciones, seguimientos metrológicos y reportes regulatorios. Soporté logística de cuadrillas y tableros de KPIs en Power BI.","hse, calibracion, power bi, sap, iso 9001","Seguridad e Higiene, Calidad, Logística, Ofimática"
"Planifiqué mantenimientos preventivos de equipos rotativos, asegurando disponibilidad y cumplimiento de normas. Elaboré informes técnicos y lideré 5S en taller.","mantenimiento preventivo, 5s, cmms","Mantenimiento, Producción"
"Implementé dashboard de integridad de tuberías con modelos de riesgo y seguimiento de inspecciones. Integré fuentes SQL y Excel, mejorando visibilidad de KPIs.","sql, power bi, excel avanzado, integracion de datos","Analisis de Datos, Ofimática"
"Gestioné auditorías internas ISO 9001 y RCA para no conformidades críticas, alineando acciones con jefaturas de planta.","iso 9001, auditorias, rca",Calidad
"Coordine logística de herramientas y materiales para operaciones de perforación, optimizando rutas y tiempos de entrega.","planificacion de rutas, wms, supply chain",Logística
Desarrollé macros en VBA para automatizar reportes diarios del área de HSE y asistencia. Reduje el esfuerzo manual en 80%.,"vba, office 365, automatizacion","Ofimática, Seguridad e Higiene"
Elaboré análisis de costo-beneficio para implementación de sensores de vibración en flota de bombas. Presentación ejecutiva a gerencia.,"analisis financiero, presentaciones, powerpoint","Finanzas, Gestion de Proyectos"
Modelé procesos en SAP PM y entrené a operadores para registrar OT y tiempos estándar.,"sap, capacitacion, estandarizacion","Mantenimiento, Educación"
"Diseñé un sistema neumático para transferencia de cemento a granel, con PLC básico y protocolos de seguridad.","autocad, neumática, seguridad industrial","Producción, Seguridad e Higiene"
"Apoyé pruebas de laboratorio de cemento y control de calidad de lotes, documentando resultados.","laboratorio, control de calidad",Calidad
Elaboré KPIs de cumplimiento y reporte semanal de incidentes. Facilitador de charlas de seguridad.,"kpi, hse, comunicacion","Seguridad e Higiene, Ofimática"
"Coordiné calibraciones de instrumentos críticos con proveedores, asegurando trazabilidad y certificados vigentes.","calibracion, metrologia, gestion de proveedores","Calidad, Compras"
Optimicé layout de almacén de repuestos críticos con análisis ABC y ubicación por frecuencia.,"abc, wms, inventarios",Logística
Desarrollé ETL con Power Query para consolidar hojas de inspección de campo.,"power query, etl, excel avanzado","Ofimática, Analisis de Datos"
Realicé análisis estadístico de fallas repetitivas e implementé acciones preventivas con líderes de turno.,"estadistica, rca, cmms","Mantenimiento, Analisis de Datos"
Diseñé presentaciones para auditorías de clientes y simulacros de emergencia. Comunicación efectiva con áreas.,"comunicacion, presentaciones, hse","Seguridad e Higiene, Administración"
"Planifiqué recursos y cronogramas para parada de planta, integrando proveedores y capex menor.","planificacion, raci, ms project","Gestion de Proyectos, Mantenimiento"
Implementé encuestas de clima y rutinas de feedback en equipos técnicos.,"clima laboral, feedback, gestion del talento",RRHH
Reduje tiempos de preparación (setup) aplicando SMED en línea de envasado.,"lean manufacturing, smed, kaizen",Producción
Construí un modelo de scoring para priorizar OT correctivas críticas.,"python, sql, analitica","Analisis de Datos, Mantenimiento"
Ejecuté capacitaciones de buenas prácticas HSE para contratistas y personal nuevo.,"induccion, hse, formacion","Seguridad e Higiene, Educación"
Ingeniera civil junior con enfoque en control de obras y gestión documental. Elaboré cubicaciones y avances valorizados.,"ms project, autocad, gestion documental","Gestion de Proyectos, Administración"
Arquitecto con experiencia en presupuestos y coordinación de proveedores. Implementé flujo digital de RFQ y comparativos.,"rfq, procurement, excel avanzado","Compras, Administración"
Desarrolladora de datos: creé modelos tabulares en Power BI y DAX para ventas y operaciones.,"power bi, dax, modelado","Analisis de Datos, Ofimática"
Analista de ciberseguridad: implementé controles de backup y endurecimiento básico de endpoints.,"seguridad basica, backup, itil",Soporte Técnico
QA tester: diseñé casos de prueba y gestioné defectos en JIRA para app móvil.,"pruebas, jira, casos de prueba","Calidad, Soporte Técnico"
Ingeniero de software: orquesté pipelines de CI/CD y monitoreo de logs para microservicios.,"devops, ci/cd, observabilidad","Soporte Técnico, Gestion de Proyectos"
Psicóloga organizacional: lideré talleres de comunicación asertiva y trabajo en equipo.,"comunicacion, facilitacion, coaching","RRHH, Educación"
Docente STEM: diseñé rúbricas y aprendizaje basado en proyectos para secundaria.,"didáctica, evaluación, abp",Educación
Médico general: participé en campañas de salud y coordinación de atenciones primarias.,"atención al paciente, protocolos",Salud
Enfermera: gestioné inventarios de insumos y registros electrónicos de pacientes.,"gestion de stock, historia clinica","Salud, Administración"
Abogada junior: redacté contratos y controlé cumplimiento de cláusulas con proveedores.,"contratos, compliance",Legal
Contador: concilié bancos y generé reportes de flujo de caja semanal.,"conciliaciones, control de gestión","Contabilidad, Finanzas"
Vendedor B2B: construí pipeline con cadencias multicanal elevando tasa de respuesta.,"crm, secuencias, negociacion",Ventas
Marketing digital: optimicé campañas PPC y contenido SEO técnico.,"sem, seo, analytics",Marketing
"Diseñador UX: realicé entrevistas, mapas de viaje y prototipos de alta fidelidad.","ux research, prototipado",Diseño
"Comex: coordiné DUAs, incoterms y seguimiento de fletes internacionales.","incoterms, aduanas, costos","Comercio Exterior, Logística"
Ingeniera química: optimicé parámetros de reacción y aseguré control estadístico.,"spc, laboratorio, iso","Producción, Calidad"
Ingeniero biomédico: gestioné mantenimiento y calibración de equipos hospitalarios.,"calibracion, cmms, riesgo clinico","Mantenimiento, Salud"
Ingeniero de petróleo: apoyé planificación de pozos y logística de materiales críticos.,"planificacion, supply chain","Gestion de Proyectos, Logística"
Energías renovables: instalé y monitoreé sistemas fotovoltaicos en autoconsumo.,"fotovoltaica, seguridad, pruebas","Producción, Seguridad e Higiene"
Analista de datos junior: construí ETLs y validaciones de calidad de datos.,"python, sql, dq",Analisis de Datos
Scrum master: facilité ceremonias y remoción de impedimentos en 2 escuadras.,"scrum, kanban, metricas",Gestion de Proyectos
