cv_texto,talleres,competencias
Analicé métricas en GA4 y propuse experimentos A/B para landing pages.,campañas pagas,Marketing
Gestioné alianzas con influencers y seguimiento de métricas de awareness.,branding,Marketing
Coordine lanzamientos de marca con materiales POP y PR digital.,"marketing digital, contenido",Marketing
Redacté contratos de servicios y anexos de confidencialidad para proveedores.,contratos,Legal
Monitoreé cumplimiento de políticas internas y normativas sectoriales.,compliance,Legal
Administé archivo digital y trazabilidad de expedientes legales.,gestion documental,Legal
Apoyé procesos de due diligence revisando cláusulas críticas.,propiedad intelectual,Legal
Gestioné renovaciones de marcas y seguimiento de oposiciones.,contratos,Legal
Conduje entrevistas por competencias para perfiles operativos y administrativos.,reclutamiento,RRHH
Diseñé onboarding híbrido y seguimiento de 30-60-90 días.,seleccion por competencias,RRHH
Gestioné nómina y novedades en coordinación con estudio contable.,induccion,RRHH
Implementé encuestas de clima y planes de acción con líderes.,gestion del talento,RRHH
Administré plataforma LMS para capacitaciones internas.,clima laboral,RRHH
Realicé auditorías internas ISO 9001 y seguí planes de acción correctivos.,gestion de calidad,Calidad
Diseñé checklists de control en línea de producción farmacéutica.,auditorias,Calidad
Analicé indicadores de scrap y propuse mejoras de proceso.,iso 9001,Calidad
Documenté procedimientos y capacitaciones para certificaciones.,control estadistico,Calidad
Implementé herramientas de control estadístico de procesos en planta.,gestion de calidad,Calidad
Programé mantenimientos preventivos y correctivos de flota industrial.,mantenimiento preventivo,Mantenimiento
Supervisé contratistas técnicos y cumplimiento de seguridad.,gestión de activos,Mantenimiento
Administré CMMS para seguimiento de órdenes de trabajo.,cmms,Mantenimiento
Gestioné inventario crítico de repuestos y compras urgentes.,seguridad industrial,Mantenimiento
Implementé análisis de falla raíz para equipos críticos.,mantenimiento preventivo,Mantenimiento
Construí dashboards en Excel con tablas dinámicas y segmentadores.,excel avanzado,Ofimática
Automatizé reportes diarios con macros y conexiones a SQL.,power bi basico,Ofimática
Diseñé plantillas para seguimiento de KPIs comerciales.,automatizacion con macros,Ofimática
Capacité equipos en funciones de Power Query y modelado básico.,reporteria,Ofimática
Integré datos en Power BI para visualizaciones ejecutivas.,excel avanzado,Ofimática
Lideré procesos de licitación y comparación técnica-económica.,"negociacion, procurement",Compras
Negocié contratos marco reduciendo costos en 8%.,gestión de proveedores,Compras
Clasifiqué proveedores y monitoreé niveles de servicio.,analisis de costos,Compras
Analicé consumos vs presupuesto y generé alertas tempranas.,"negociacion, procurement",Compras
Implementé catálogo electrónico y órdenes automáticas.,gestión de proveedores,Compras
Supervisé líneas de envasado asegurando cumplimiento de OEE.,lean manufacturing,Producción
Planifiqué secuencias de producción acorde a demanda semanal.,planificacion de la produccion,Producción
Facilité eventos kaizen para reducir tiempos de cambio de formato.,kaizen,Producción
Monitoreé indicadores de scrap y desperdicio de materias primas.,control de planta,Producción
Coordiné turnos y asignación de personal en planta continua.,lean manufacturing,Producción
"Elaboré plan de proyecto con cronograma, presupuesto y matriz RACI.",pm tools,Gestion de Proyectos
Facilité ceremonias ágiles para escuadras multidisciplinarias.,metodologias agiles,Gestion de Proyectos
Controlé riesgos y planes de mitigación en portafolio corporativo.,gestion de riesgos,Gestion de Proyectos
Reporté avances semanales a PMO con indicadores de valor ganado.,planificacion,Gestion de Proyectos
Implementé tableros Kanban para proyectos de innovación.,seguimiento de proyectos,Gestion de Proyectos
Construí modelos de flujo de caja y escenarios de sensibilidad.,finanzas corporativas,Finanzas
Analicé estados financieros para soporte en decisiones de inversión.,analisis financiero,Finanzas
Preparé reportes de control de gestión con indicadores de rentabilidad.,modelos financieros,Finanzas
Coordiné cierres trimestrales y relacionamiento con auditores externos.,control de gestión,Finanzas
Desarrollé tableros para seguimiento de presupuesto vs real.,finanzas corporativas,Finanzas
Resolví incidencias de software y hardware con tiempos de respuesta inferiores al SLA.,mesa de ayuda,Soporte Técnico
Instalé y configuré redes LAN y periféricos para oficinas nuevas.,hardware,Soporte Técnico
Documenté soluciones en base de conocimiento y capacitaciones de usuarios.,sistemas operativos,Soporte Técnico
Gestioné inventario de activos tecnológicos y licencias.,herramientas it,Soporte Técnico
Implementé controles básicos de seguridad y respaldo de información.,seguridad basica,Soporte Técnico
Desarrollé modelos descriptivos en Python para detectar desviaciones operativas.,"python, analisis de datos",Analisis de Datos
Construí consultas SQL avanzadas para auditorías de información.,sql,Analisis de Datos
Elaboré visualizaciones interactivas para dirección comercial.,estadistica,Analisis de Datos
Aplicqué técnicas de estadística inferencial para experimentos internos.,visualizacion,Analisis de Datos
Integré datos de múltiples fuentes y aseguré calidad de información.,"python, analisis de datos",Analisis de Datos
Dirigí un contact center que vendía seguros y gestionaba reclamos complejos.,"servicio al cliente, ventas consultivas, negociacion","Atención al Cliente, Ventas"
Gestioné compras estratégicas de repuestos críticos coordinando logística y mantenimiento.,"procurement, logistica, mantenimiento preventivo","Compras, Logística, Mantenimiento"
Diseñé tableros financieros y presentaciones ejecutivas para dirección y comité de proyectos.,"control de gestión, planificacion, power bi basico","Finanzas, Gestion de Proyectos, Ofimática"
Implementé mejoras de procesos apoyadas en datos y automatizaciones en planta productiva.,"lean manufacturing, analisis de datos, automatizacion","Producción, Analisis de Datos, Calidad"
Negocié contratos comerciales asegurando cumplimiento legal y objetivos de venta.,"negociacion, contratos, compliance","Ventas, Legal"
"Planifiqué presupuestos anuales considerando nómina, capacitaciones y clima laboral.","gestion del talento, control de gestión, clima laboral","RRHH, Finanzas"
Automatizé reportes de contabilidad y creé dashboards para compras y logística.,"excel avanzado, contabilidad, supply chain","Ofimática, Contabilidad, Logística"
Coordiné campañas digitales para lanzar un ecommerce con soporte operativo post venta.,"marketing digital, crm, servicio al cliente","Marketing, Ventas, Atención al Cliente"
Implementé ITIL básico para mesa de ayuda alineada a proyectos y soporte continuo.,"mesa de ayuda, metodologias agiles, herramientas it","Soporte Técnico, Gestion de Proyectos"
Supervisé logística inversa garantizando calidad del servicio y satisfacción del cliente.,"logistica, gestion de calidad, servicio al cliente","Logística, Calidad, Atención al Cliente"
Analicé data de ventas para definir estrategias de marketing y forecasts financieros.,"analisis de datos, marketing digital, finanzas corporativas","Analisis de Datos, Marketing, Finanzas"
Gestioné proveedores tecnológicos desde la evaluación legal hasta la capacitación de usuarios.,"gestion de proveedores, contratos, capacitacion","Compras, Legal, Ofimática"
"Coordiné despliegue de ERP involucrando procesos contables, logísticos y de producción.","erp, planificacion, logistica, contabilidad","Gestion de Proyectos, Contabilidad, Logística, Producción"
Diseñé políticas de seguridad y continuidad operativa para áreas críticas de soporte y datos.,"seguridad basica, estadistica, continuidad del negocio","Soporte Técnico, Analisis de Datos"
Lideré comité de calidad y finanzas para certificar planta con foco en indicadores de costo.,"iso 9001, control de gestión, costos","Calidad, Finanzas"
Brindé atención primaria en campañas de salud comunitaria coordinando derivaciones y seguimiento.,"atención al paciente, bioseguridad",Salud
Apliqué protocolos de bioseguridad en vacunatorios y eduqué a la comunidad en prevención.,"protocolos de bioseguridad, primeros auxilios",Salud
Diseñé clases con metodologías activas y rubricas de evaluación continua.,"didáctica, evaluación del aprendizaje",Educación
"Gestioné aula híbrida, planificación semanal y acompañamiento a familias y estudiantes.","gestion de aula, pedagogía",Educación
Desarrollé wireframes y pruebas de usabilidad para mejorar conversión de formularios.,"ux, prototipado",Diseño
Creé piezas gráficas y guías de estilo para campañas multiformato.,"diseño gráfico, canva",Diseño
Gestioné importaciones coordinando despachos y documentación con despachantes.,"comercio exterior, aduanas",Comercio Exterior
Preparé DUAs y controlé aranceles y certificaciones de origen.,"despachante, normativa",Comercio Exterior
Implementé programas de seguridad e higiene y capacitaciones en uso de EPP.,"seguridad e higiene, epi",Seguridad e Higiene
Realicé evaluaciones de riesgo y planes de emergencia en planta.,"seguridad industrial, auditorias",Seguridad e Higiene
"Administré agendas, documentación y trámites para dirección general.","ofimática, organización",Administración
"Organicé eventos internos, minutas y seguimiento de compromisos.","comunicación, gestion documental",Administración
Lideré equipo de call center para agendar turnos médicos con KPIs de servicio.,"servicio al cliente, atención al paciente","Atención al Cliente, Salud"
Elaboré materiales educativos digitales y talleres para emprendedores.,"didáctica, marketing digital","Educación, Marketing"
Optimizé procesos de compras internacionales con análisis de costos y lead time.,"procurement, comercio exterior","Compras, Comercio Exterior"
Diseñé prototipos y testeos A/B alineados a objetivos comerciales.,"ux, campañas pagas","Diseño, Marketing"
Gestioné presupuesto de capacitación y procesos de onboarding.,"induccion, gestion del talento","RRHH, Educación"
Atendí reclamos complejos asegurando cumplimiento legal y satisfacción del cliente.,"compliance, servicio al cliente","Legal, Atención al Cliente"
Implementé BI para control de inventario y rotación de productos.,"power bi basico, supply chain","Ofimática, Logística"
Analicé variaciones de costos y su impacto en margen y OPEX.,"analisis financiero, control de gestión",Finanzas
Estandaricé instructivos de trabajo y capacité operarios en calidad.,"gestion de calidad, capacitación","Calidad, Educación"
Automatizé indicadores de mesa de ayuda y monitoreo de SLA.,"mesa de ayuda, analytics","Soporte Técnico, Analisis de Datos"
Diseñé e impartí curso de Excel intermedio para administración.,"excel avanzado, didáctica","Ofimática, Educación"
Planifiqué inventarios y rutas de distribución para reducir quiebres de stock.,"planificacion de rutas, control de stock",Logística
"Ingeniero electromecánico junior en sector energético con foco en HSE y calidad. Coordiné calibraciones, seguimientos metrológicos y reportes regulatorios. Soporté logística de cuadrillas y tableros de KPIs en Power BI.","hse, calibracion, power bi, sap, iso 9001","Seguridad e Higiene, Calidad, Logística, Ofimática"
"Planifiqué mantenimientos preventivos de equipos rotativos, asegurando disponibilidad y cumplimiento de normas. Elaboré informes técnicos y lideré 5S en taller.","mantenimiento preventivo, 5s, cmms","Mantenimiento, Producción"
"Implementé dashboard de integridad de tuberías con modelos de riesgo y seguimiento de inspecciones. Integré fuentes SQL y Excel, mejorando visibilidad de KPIs.","sql, power bi, excel avanzado, integracion de datos","Analisis de Datos, Ofimática"
"Gestioné auditorías internas ISO 9001 y RCA para no conformidades críticas, alineando acciones con jefaturas de planta.","iso 9001, auditorias, rca",Calidad
"Coordine logística de herramientas y materiales para operaciones de perforación, optimizando rutas y tiempos de entrega.","planificacion de rutas, wms, supply chain",Logística
Desarrollé macros en VBA para automatizar reportes diarios del área de HSE y asistencia. Reduje el esfuerzo manual en 80%.,"vba, office 365, automatizacion","Ofimática, Seguridad e Higiene"
Elaboré análisis de costo-beneficio para implementación de sensores de vibración en flota de bombas. Presentación ejecutiva a gerencia.,"analisis financiero, presentaciones, powerpoint","Finanzas, Gestion de Proyectos"
Modelé procesos en SAP PM y entrené a operadores para registrar OT y tiempos estándar.,"sap, capacitacion, estandarizacion","Mantenimiento, Educación"
"Diseñé un sistema neumático para transferencia de cemento a granel, con PLC básico y protocolos de seguridad.","autocad, neumática, seguridad industrial","Producción, Seguridad e Higiene"
"Apoyé pruebas de laboratorio de cemento y control de calidad de lotes, documentando resultados.","laboratorio, control de calidad",Calidad
Elaboré KPIs de cumplimiento y reporte semanal de incidentes. Facilitador de charlas de seguridad.,"kpi, hse, comunicacion","Seguridad e Higiene, Ofimática"
"Coordiné calibraciones de instrumentos críticos con proveedores, asegurando trazabilidad y certificados vigentes.","calibracion, metrologia, gestion de proveedores","Calidad, Compras"
Optimicé layout de almacén de repuestos críticos con análisis ABC y ubicación por frecuencia.,"abc, wms, inventarios",Logística
Desarrollé ETL con Power Query para consolidar hojas de inspección de campo.,"power query, etl, excel avanzado","Ofimática, Analisis de Datos"
Realicé análisis estadístico de fallas repetitivas e implementé acciones preventivas con líderes de turno.,"estadistica, rca, cmms","Mantenimiento, Analisis de Datos"
Diseñé presentaciones para auditorías de clientes y simulacros de emergencia. Comunicación efectiva con áreas.,"comunicacion, presentaciones, hse","Seguridad e Higiene, Administración"
"Planifiqué recursos y cronogramas para parada de planta, integrando proveedores y capex menor.","planificacion, raci, ms project","Gestion de Proyectos, Mantenimiento"
Implementé encuestas de clima y rutinas de feedback en equipos técnicos.,"clima laboral, feedback, gestion del talento",RRHH
Reduje tiempos de preparación (setup) aplicando SMED en línea de envasado.,"lean manufacturing, smed, kaizen",Producción
Construí un modelo de scoring para priorizar OT correctivas críticas.,"python, sql, analitica","Analisis de Datos, Mantenimiento"
Ejecuté capacitaciones de buenas prácticas HSE para contratistas y personal nuevo.,"induccion, hse, formacion","Seguridad e Higiene, Educación"
Ingeniera civil junior con enfoque en control de obras y gestión documental. Elaboré cubicaciones y avances valorizados.,"ms project, autocad, gestion documental","Gestion de Proyectos, Administración"
Arquitecto con experiencia en presupuestos y coordinación de proveedores. Implementé flujo digital de RFQ y comparativos.,"rfq, procurement, excel avanzado","Compras, Administración"
Desarrolladora de datos: creé modelos tabulares en Power BI y DAX para ventas y operaciones.,"power bi, dax, modelado","Analisis de Datos, Ofimática"
Analista de ciberseguridad: implementé controles de backup y endurecimiento básico de endpoints.,"seguridad basica, backup, itil",Soporte Técnico
QA tester: diseñé casos de prueba y gestioné defectos en JIRA para app móvil.,"pruebas, jira, casos de prueba","Calidad, Soporte Técnico"
Ingeniero de software: orquesté pipelines de CI/CD y monitoreo de logs para microservicios.,"devops, ci/cd, observabilidad","Soporte Técnico, Gestion de Proyectos"
Psicóloga organizacional: lideré talleres de comunicación asertiva y trabajo en equipo.,"comunicacion, facilitacion, coaching","RRHH, Educación"
Docente STEM: diseñé rúbricas y aprendizaje basado en proyectos para secundaria.,"didáctica, evaluación, abp",Educación
Médico general: participé en campañas de salud y coordinación de atenciones primarias.,"atención al paciente, protocolos",Salud
Enfermera: gestioné inventarios de insumos y registros electrónicos de pacientes.,"gestion de stock, historia clinica","Salud, Administración"
Abogada junior: redacté contratos y controlé cumplimiento de cláusulas con proveedores.,"contratos, compliance",Legal
Contador: concilié bancos y generé reportes de flujo de caja semanal.,"conciliaciones, control de gestión","Contabilidad, Finanzas"
Vendedor B2B: construí pipeline con cadencias multicanal elevando tasa de respuesta.,"crm, secuencias, negociacion",Ventas
Marketing digital: optimicé campañas PPC y contenido SEO técnico.,"sem, seo, analytics",Marketing
"Diseñador UX: realicé entrevistas, mapas de viaje y prototipos de alta fidelidad.","ux research, prototipado",Diseño
"Comex: coordiné DUAs, incoterms y seguimiento de fletes internacionales.","incoterms, aduanas, costos","Comercio Exterior, Logística"
Ingeniera química: optimicé parámetros de reacción y aseguré control estadístico.,"spc, laboratorio, iso","Producción, Calidad"
Ingeniero biomédico: gestioné mantenimiento y calibración de equipos hospitalarios.,"calibracion, cmms, riesgo clinico","Mantenimiento, Salud"
Ingeniero de petróleo: apoyé planificación de pozos y logística de materiales críticos.,"planificacion, supply chain","Gestion de Proyectos, Logística"
Energías renovables: instalé y monitoreé sistemas fotovoltaicos en autoconsumo.,"fotovoltaica, seguridad, pruebas","Producción, Seguridad e Higiene"
Analista de datos junior: construí ETLs y validaciones de calidad de datos.,"python, sql, dq",Analisis de Datos
Scrum master: facilité ceremonias y remoción de impedimentos en 2 escuadras.,"scrum, kanban, metricas",Gestion de Proyectos
Compras: negocié contratos marco y evalué desempeño de proveedores.,"procurement, slas, kpis",Compras
"Administración: gestioné agendas, minutas y canalización de requerimientos internos.","ofimática, organización",Administración
"Soporte TI: resolví incidencias N1/N2, documenté soluciones y medí SLA.","mesa de ayuda, itil, documentacion",Soporte Técnico
RRHH: ejecuté procesos de selección por competencias y onboarding 30-60-90.,"entrevistas, onboarding",RRHH
Finanzas: elaboré tablero de presupuesto vs real y análisis de variaciones.,"power bi, control de gestión","Finanzas, Ofimática"
Producción: coordiné turnos y analicé OEE con foco en cuellos de botella.,"oee, lean, kaizen",Producción
Calidad: lideré auditorías de proveedor y homologación de materiales.,"auditorias, homologacion","Calidad, Compras"
Logística: planifiqué rutas urbanas con reducción de tiempos de entrega.,"ruteo, wms",Logística
Atención al cliente: elevé NPS mediante protocolos y seguimiento post venta.,"nps, crm, comunicacion",Atención al Cliente
Legal y ventas: soporté negociaciones asegurando cumplimiento normativo en acuerdos.,"contratos, negociacion, compliance","Legal, Ventas"
Educación y marketing: impartí talleres de herramientas digitales para pymes.,"didáctica, marketing digital","Educación, Marketing"
Ingeniería industrial: implementé VSM y mejoras kaizen en flujo de empaque.,"vsm, kaizen, 5s",Producción
Electrónica: diagnostiqué fallas en tableros y actualicé documentación técnica.,"instrumentacion, planos, mantenimiento",Mantenimiento
Minas: coordiné seguridad en voladuras y trazabilidad de equipos de medición.,"seguridad, metrologia","Seguridad e Higiene, Calidad"
Data/BI: documenté modelos semánticos y publiqué reportes con gobernanza básica.,"power bi, governance, linaje","Analisis de Datos, Ofimática"
Operaciones: coordiné planes de emergencia y simulacros inter-área.,"emergencias, hse, comunicacion","Seguridad e Higiene, Administración"
"Soft skills: lideré iniciativas de mejora, gestión del cambio y comunicación interna.","liderazgo, trabajo en equipo, adaptabilidad","RRHH, Administración"
Software engineer: desarrollé APIs REST en Python y Node con pruebas unitarias y cobertura >85%.,"python, node, rest, testing",Ingeniería de Software
"Frontend: construí SPA con React y manejo de estado, optimizando rendimiento con memoización.","react, redux, performance","Ingeniería de Software, Diseño"
"DevOps: implementé IaC con Terraform y CI/CD en GitHub Actions, blue/green deploy.","terraform, ci/cd, docker, kubernetes",DevOps/SRE
"SRE: definí SLO/SLI y alertas con Prometheus y Grafana, postmortems sin culpa.","observabilidad, sre, prometheus",DevOps/SRE
"Ciberseguridad: apliqué hardening CIS, gestión de parches y respuestas a incidentes.","cis, siem, incident response",Ciberseguridad
Pentesting: ejecuté pruebas OWASP Top 10 y recomendaciones de remediación.,"owasp, burp, seguridad","Ciberseguridad, Ingeniería de Software"
Ingeniería de datos: orquesté pipelines en Airflow y modelado en BigQuery.,"airflow, etl, bigquery","Ingeniería de Datos, Analisis de Datos"
DataOps: versionado de datos y pruebas de calidad con Great Expectations.,"dataops, dq, pytest",Ingeniería de Datos
"Product management: definí roadmap, prioricé con RICE y medí impacto con métricas North Star.","product, discovery, analytics",Producto
"eCommerce: optimicé conversión en checkout y catálogo, integrando medios de pago.","shopify, ga4, ab testing","eCommerce, Marketing"
Arquitectura/Construcción: supervisé obra civil y controlé seguridad en faenas.,"obra, autocad, hse","Arquitectura y Construcción, Seguridad e Higiene"
Recursos hídricos: modelé caudales y gestioné permisos de uso de agua.,"hidrologia, gis, normativa",Recursos Hídricos
Agroindustria: gestioné trazabilidad e inocuidad con BPM/HACCP y control de proveedores.,"bpm, haccp, supply","Agroindustria, Calidad"
"Biotecnología: ejecuté PCR y cultivos celulares, documentando resultados GxP.","pcr, cultivo, gxp","Biotecnología, Salud"
Energías renovables: dimensioné sistemas FV y analicé retornos LCOE.,"fotovoltaica, pvsyst, lcoe","Energías Renovables, Finanzas"
Petróleo y gas: planifiqué workovers y coordiné logística de materiales críticos.,"pozos, logistica, scada","Petróleo y Gas, Logística"
Minería: controlé voladura y gestioné seguridad y ambiente en mina a cielo abierto.,"voladura, seguridad, ambiente","Minería, Seguridad e Higiene"
Telecomunicaciones: gestioné nodos LTE/5G y KPIs de red con SON básico.,"lte, 5g, kpis","Telecomunicaciones, Analisis de Datos"
Banca: analicé riesgo crediticio y construí scorecards regulatorios.,"riesgo, modelos, regulacion","Banca y Servicios Financieros, Finanzas"
Seguros: diseñé productos masivos y tableros de siniestralidad.,"actuarial, pricing, siniestros","Seguros, Finanzas"
Gobierno: lideré proyectos de modernización con enfoque en interoperabilidad y datos abiertos.,"govtech, interoperabilidad, open data","Gobierno y Sector Público, Gestion de Proyectos"
Turismo/Hotelería: mejoré RevPAR con estrategias de revenue management y CRM.,"revenue, crm, canales","Turismo y Hotelería, Marketing"
Salud mental: conduje talleres de psicoeducación y protocolos de derivación.,"psicoeducacion, protocolos","Salud Mental, Educación"
Veterinaria: gestioné clínica ambulatoria y campañas de vacunación animal.,"atención, bioseguridad","Veterinaria, Salud"
Traducción/Interpretación: realicé interpretaciones simultáneas y traducciones técnicas.,"interpretación, traducción","Traducción e Interpretación, Administración"
Investigación/Academia: publiqué artículo indexado y dicté cátedra de laboratorio.,"investigación, docencia","Investigación y Academia, Educación"
Retail operaciones: coordiné inventarios omnicanal y picking store-to-customer.,"omnicanal, wms, ruteo","Retail Operaciones, Logística"
Atención técnica posventa: resolví incidencias complejas y documenté soluciones nivel 3.,"troubleshooting, kcs","Soporte Técnico, Atención al Cliente"
Ética de datos/IA: definí lineamientos de uso responsable y evaluaciones de sesgo.,"responsible ai, governance","Analisis de Datos, Legal"
Cultura y cambio: facilité adopción de herramientas y acompañé champions internos.,"change management, adopción","RRHH, Administración"
Comunity management: gestioné comunidades técnicas y contenido especializado.,"comunidad, contenido","Marketing, Educación"
"Desarrollador full-stack con experiencia en React, Node.js y APIs REST. Implementé features complejas con testing automatizado y CI/CD.","react, node, apis, testing",Ingeniería de Software
Backend engineer: diseñé microservicios escalables en Python y Java con patrones SOLID y clean architecture.,"python, java, microservicios",Ingeniería de Software
"Frontend specialist: creé SPAs con Vue y Redux, optimización de bundle y lazy loading para mejorar performance.","vue, redux, webpack",Ingeniería de Software
Mobile developer: construí apps nativas en Android y iOS con integración de APIs y offline-first.,"android, ios, mobile",Ingeniería de Software
"QA automation engineer: desarrollé frameworks de testing E2E con Selenium y Cypress, reportes automatizados.","selenium, cypress, qa automation",Ingeniería de Software
Software architect: lideré diseño de plataforma SaaS multi-tenant con foco en escalabilidad y seguridad.,"arquitectura, saas, escalabilidad",Ingeniería de Software
"DevOps engineer: automaticé despliegues con Terraform y Ansible, infraestructura como código en AWS.","terraform, ansible, aws",DevOps/SRE
"SRE: definí SLO/SLI, implementé alertas proactivas y mejoras de confiabilidad con chaos engineering.","slo, sli, chaos engineering",DevOps/SRE
Platform engineer: gestioné clusters Kubernetes en producción con monitoreo Prometheus y Grafana.,"kubernetes, prometheus, grafana",DevOps/SRE
Release engineer: coordiné pipelines CI/CD multi-región con blue/green deploy y rollback automatizado.,"cicd, blue-green, gitops",DevOps/SRE
Cloud engineer: migré workloads on-premise a Azure con contenedores y orquestación AKS.,"azure, aks, contenedores",DevOps/SRE
"Security operations: analicé logs de SIEM, detecté y mitigé amenazas APT con respuesta a incidentes.","siem, apt, incident response",Ciberseguridad
"Penetration tester: realicé pentests de aplicaciones web y móviles, informes de vulnerabilidades y remediación.","pentest, owasp, vulnerabilidades",Ciberseguridad
"Security analyst: implementé hardening CIS, gestión de parches y auditorías de cumplimiento SOC2.","hardening, cis, soc2",Ciberseguridad
Cybersecurity consultant: diseñé políticas de seguridad y programas de awareness para reducir riesgo humano.,"politicas, awareness, risk",Ciberseguridad
"Application security: integré SAST/DAST en pipelines, secure code reviews y threat modeling.","sast, dast, threat modeling",Ciberseguridad
Data engineer: construí pipelines ETL en Airflow y Spark procesando terabytes diarios con calidad de datos.,"airflow, spark, etl",Ingeniería de Datos
"Analytics engineer: modelé data warehouses con dbt, métricas de negocio y gobernanza de datos.","dbt, data warehouse, governance",Ingeniería de Datos
"ML engineer: desplegué modelos en producción con MLflow y monitoreo de drift, reentrenamiento automatizado.","mlflow, ml ops, drift",Ingeniería de Datos
Big data specialist: gestioné clusters Hadoop y optimicé queries en BigQuery para reducir costos.,"hadoop, bigquery, optimizacion",Ingeniería de Datos
"DataOps: versionado de datasets con DVC, pruebas de calidad con Great Expectations.","dvc, great expectations, dataops",Ingeniería de Datos
"Product manager: definí roadmap con priorización RICE, discovery con usuarios y métricas North Star.","product, rice, discovery",Producto
"Product owner: gestioné backlog ágil, user stories y coordinación con squads de ingeniería.","backlog, user stories, agile",Producto
Growth PM: experimenté con A/B tests para mejorar activación y retención de usuarios.,"ab testing, growth, retention",Producto
"Product designer: realicé research de usuarios, wireframes y validación de prototipos con tests de usabilidad.","research, wireframes, usabilidad",Producto
"Technical PM: traduje requisitos de negocio a specs técnicas, coordiné releases con ingeniería.","specs, releases, coordinacion",Producto
"eCommerce manager: optimicé conversión de checkout, implementé medios de pago y programas de fidelización.","checkout, conversion, fidelizacion",eCommerce
"Marketplace specialist: gestioné catálogo multi-vendor, onboarding de sellers y KPIs de GMV.","marketplace, sellers, gmv",eCommerce
"Retail digital: integré tienda online con ERP, logística omnicanal y click-and-collect.","omnicanal, erp, fulfillment",eCommerce
"CRO specialist: analicé funnel de conversión, heatmaps y experimentos para reducir abandono de carrito.","cro, heatmaps, funnel","eCommerce, Marketing"
"Customer success ecommerce: gestioné post-venta, NPS y programa de recompras.","post-venta, nps, recompras","eCommerce, Atención al Cliente"
"Arquitecto técnico: supervisé obra de edificio residencial, control de calidad de materiales y cumplimiento de plazos.","obra, supervision, materiales",Arquitectura y Construcción
"Ingeniero civil de estructuras: calculé y diseñé estructuras de hormigón, planos y memoria de cálculo.","estructuras, calculo, planos",Arquitectura y Construcción
"Project manager construcción: coordiné contratistas, presupuesto y cronograma de obra con metodología CPM.","cronograma, cpm, contratistas","Arquitectura y Construcción, Gestion de Proyectos"
"BIM coordinator: modelé edificio en Revit, clash detection y coordinación interdisciplinaria.","bim, revit, coordinacion",Arquitectura y Construcción
"Maestro mayor de obras: dirigí cuadrillas, control de avance y seguridad en obra.","cuadrillas, avance, seguridad","Arquitectura y Construcción, Seguridad e Higiene"
"Ingeniero hidrólogo: modelé cuencas hidrográficas, estudios de caudales y diseño de sistemas de drenaje.","hidrologia, cuencas, drenaje",Recursos Hídricos
"Especialista en agua potable: diseñé redes de abastecimiento, plantas potabilizadoras y control de calidad.","agua potable, plantas, calidad",Recursos Hídricos
"Gestor de recursos hídricos: tramité permisos de uso de agua, monitoreo de cauces y gestión de conflictos.","permisos, cauces, gestion","Recursos Hídricos, Legal"
Ingeniero sanitario: proyecté sistemas de tratamiento de aguas residuales y efluentes industriales.,"aguas residuales, tratamiento, efluentes","Recursos Hídricos, Calidad"
